LT,TEC
25.07720353,8.218049948
25.11054048,8.168319535
25.14387749,8.086487965
25.17721454,7.558426259
25.21055164,7.35735642
25.24388873,7.05337232
25.27722585,7.110227648
25.31056302,6.777184436
25.34390017,6.58939267
25.3772374,6.632673177
25.41057459,6.701403668
25.44391183,6.130133108
25.47724912,5.85412783
25.51058636,5.620045575
25.54392367,5.365667432
25.57726098,5.224185595
25.61059831,4.822638622
25.64393564,4.81776259
25.67727301,4.355511164
25.71061036,4.190871291
25.74394775,4.015400014
25.77728514,3.937011408
25.81062253,3.709851953
25.84395994,3.716598797
25.87729736,3.460725859
25.9106348,3.395685251
25.94397223,3.486829665
25.9773097,3.083334344
26.01064712,3.001947909
26.04398458,2.988594359
26.07732202,2.983258498
26.11065949,2.651464278
26.14399696,2.654495787
26.17733441,2.625126747
26.21067189,2.499346905
26.24400936,2.919732028
26.27734683,3.146254342
26.31068429,3.140697421
26.34402176,2.982499052
26.37735921,2.768721706
26.41069668,2.685066127
26.44403415,2.203461141
26.47737161,1.847518222
26.51070905,2.105354225
26.54404651,1.973653284
26.57738394,1.954268555
26.61072136,2.322430677
26.64405881,2.400495376
26.67739624,2.67668241
26.71073366,2.695269775
26.74407107,2.557167368
26.77740847,2.430242147
26.81074584,2.249017459
26.84408324,2.310695987
26.87742063,2.402729966
26.91075797,2.397840918
26.94409533,2.705037594
26.97743268,2.105478841
27.01077,1.885405958
27.04410733,1.557693604
27.07744465,1.478914919
27.11078195,1.637436181
27.14411922,1.525117183
27.17745649,1.597285741
27.21079376,1.47222224
27.24413103,1.525631986
27.27746824,1.492466623
27.31080547,1.536848442
27.34414267,1.392623989
27.37747988,1.419408943
27.41081706,1.355265496
27.44415422,1.577481552
27.47749135,1.435755243
27.51082854,1.582522441
27.54416566,1.677172317
27.57750278,1.440718751
27.61083985,0.98488909
27.64417696,1.367505371
27.67751402,1.26569778
27.71085108,1.402153138
27.74418812,1.349919611
27.77752513,1.138494444
27.81086216,0.85338899
27.84419915,0.941754746
27.87753615,0.987340469
27.9108731,0.846796683
27.94421007,1.002980968
27.97754701,0.813049984
28.01088396,0.57735727
28.04422086,0.961861708
28.07755775,0.491096874
28.11089465,1.247894924
28.14423151,1.21116381
28.17756837,1.220792657
28.21090522,1.358911641
28.24424208,1.479178358
28.2775789,1.468478779
28.31091569,1.501451692
28.34425251,1.362944641
28.37758928,1.400377491
28.41092606,1.644801591
28.44426282,1.562725805
28.47759958,1.716589345
28.5109363,1.55577196
28.54427304,1.455626255
28.57760979,1.227610856
28.61094645,1.027046574
28.64428319,1.236434719
28.67761988,1.122947538
28.71095655,1.24071491
28.74429327,0.846007226
28.77762993,0.958224065
28.81096658,0.94559289
28.84430321,1.123583616
28.87763988,1.374218394
28.9109765,1.201128645
28.94431318,1.211509602
28.97764978,1.347382703
29.01098643,1.116983822
29.044323,1.070607525
29.07765964,1.021531048
29.11099622,0.981196078
29.14433287,0.988216687
29.17766946,0.967212021
29.2110061,1.448923351
29.24434269,1.522223156
29.27767928,1.74886893
5.311293676,1.930323552
5.344630281,1.827156823
5.37796689,1.875832724
5.41130348,1.871561917
5.444640088,1.379531649
5.47797669,1.549625276
5.511313293,1.058617308
5.544649887,1.182695505
5.577986519,1.257578223
5.611323114,1.142550748
5.644659747,1.416718903
5.677996357,1.32405223
5.711333024,1.185779696
5.744669653,0.993024035
5.778006273,1.14619047
5.811342931,1.405275082
5.84467961,1.404644534
5.878016261,1.240304623
5.911352932,1.294762664
5.944689568,1.759600827
5.978026314,1.854448124
6.011362993,1.759473413
6.044699702,1.697313381
6.078036419,1.527880972
6.111373167,1.721289053
6.144709882,1.819762037
6.178046696,2.552074262
6.211383453,2.57768242
6.244720247,2.879075842
6.278057029,3.061560429
6.311393815,3.268319026
6.344730681,3.060492853
6.378067542,3.331339787
6.411404423,4.129695492
6.44474129,4.491197708
6.478078184,4.704914044
6.511415116,5.113994993
6.544752051,5.402691605
6.578089004,5.837783907
6.611425968,6.131068578
6.644762969,6.20324298
6.678099987,6.22182895
6.711437026,6.055043505
6.744774078,5.943886896
6.778111166,6.351475013
6.811448262,6.882285222
6.84478537,7.307359961
6.87812251,7.582333987
6.911459669,7.806489145
6.944796885,8.018160127
6.978134127,8.45208873
7.011471361,8.288588232
7.044808642,8.475174
7.078145902,8.82261452
7.111483205,8.931155855
7.14482056,9.060974134
7.178157982,9.380535314
7.211495339,9.432854134
7.244832786,9.5872856
7.27817026,9.967450164
7.311507743,10.22315167
7.344845255,9.743470279
7.378182774,9.70466356
7.411520333,10.21757125
7.444857968,10.26695058
7.478195584,10.75083848
7.511533228,11.25474067
7.544870936,11.58361902
7.578208653,11.73308815
7.611546402,12.06783573
7.644884137,12.07422696
7.678221953,12.34568568
7.71155983,12.71350814
7.744897665,13.10293751
7.778235574,13.59277788
7.811573495,13.82266928
7.844911463,14.4340396
7.878249463,14.45906491
7.911587495,15.21961639
7.944925538,15.50220585
7.97826361,15.98620824
8.011601742,16.1751902
8.044939882,16.23183568
8.078278059,16.58155442
8.11161628,17.09914107
8.144954519,17.29368984
8.178292801,17.64858049
8.211631152,17.69043225
8.244969446,18.33050624
8.278307833,18.64225684
8.311646267,18.6283578
8.344984684,19.09681327
8.37832317,19.7288092
8.411661628,19.8955838
8.445000168,19.76247691
8.478338746,20.11239873
8.511677297,20.51625083
8.545015929,20.64114926
8.578354592,20.94788541
8.611693232,21.50451547
8.64503197,21.79878516
8.678370687,22.21164339
8.711709442,22.46435679
8.745048242,23.12102698
8.778387081,22.69759658
8.811725894,23.00402347
8.845064787,23.60001155
8.878403714,24.50143554
8.911742606,24.864259
8.945081617,24.80360453
8.978420559,24.8407127
9.011759584,25.44517832
9.045098607,25.40521697
9.078437657,25.63748098
9.111776737,25.91539261
9.145115851,26.14814303
9.178454968,26.77232172
9.211794118,26.96544816
9.245133328,27.28571456
9.27847252,27.47715029
9.311811749,27.93790595
9.345150986,28.21613726
9.378490207,28.62343348
9.411829513,29.18072787
9.445168803,29.57651372
9.478508121,29.93364
9.511847443,30.11706413
9.545186768,30.51455386
9.578526162,30.88788335
9.611865506,31.25658196
9.645204907,31.73426903
9.678544322,32.34344921
9.711883729,32.24773361
9.745223173,32.76647309
9.778562595,32.99004621
9.811902033,33.48589552
9.84524152,33.62330862
9.878581017,34.07251676
9.911920485,34.19531744
9.945259991,34.66595112
9.978599484,34.67497666
10.01193896,34.99507561
10.04527846,34.97360587
10.07861797,35.16417084
10.11195749,35.00510593
10.145297,35.10028983
10.17863653,35.17644449
10.21197605,35.38077126
10.24531558,35.12592841
10.27865508,34.94818511
10.31199462,35.08836974
10.34533411,34.97972515
10.37867364,34.43647561
10.41201315,34.37314203
10.44535266,34.19796766
10.47869212,34.23340133
10.51203159,34.0539994
10.54537107,34.18299321
10.57871055,34.28611308
10.61205001,34.09116405
10.64538946,34.11637784
10.67872886,33.86602096
10.71206831,33.85641683
10.7454077,33.52695721
10.77874707,33.67277211
10.81208644,33.53357988
10.84542577,33.41166814
10.87876511,33.52541909
10.91210443,33.43299497
10.94544369,33.42245625
10.97878297,33.14815012
11.0121222,32.9845254
11.04546139,32.81887703
11.07880058,32.91772589
11.11213974,32.61131598
11.14547886,32.56257394
11.17881796,32.45352287
11.21215702,32.39751215
11.24549605,32.05008987
11.27883505,32.01641386
11.31217402,31.93166353
11.34551291,31.71275695
11.37885183,31.6430868
11.4121907,31.53561462
11.4455295,31.38573555
11.47886827,31.02802818
11.51220699,31.44691781
11.54554567,31.17281271
11.57888433,31.17933195
11.61222295,31.13570655
11.64556149,31.12299122
11.67889998,31.27383804
11.71223845,30.94493412
11.74557684,31.00149196
11.77891521,31.34642726
11.81225352,31.15454449
11.84559177,31.25178069
11.87892996,31.42186575
11.91226811,31.20213757
11.94560619,31.02753151
11.9789442,31.17110695
12.01228217,31.08156419
12.04562008,31.16142488
12.07895792,31.46125018
12.11229571,31.25300556
12.14563343,31.50084433
12.17897108,32.02747151
12.21230867,32.04917446
12.24564618,32.06017288
12.27898363,32.39832379
12.31232105,32.39082562
12.34565835,32.15050136
12.3789956,32.11162222
12.41233275,32.33949146
12.44566986,32.24610901
12.47900689,32.59048896
12.51234383,32.97339066
12.54568072,33.4197315
12.57901752,33.3876397
12.61235423,33.65409092
12.64569084,33.36728964
12.67902743,33.99427516
12.71236391,33.99938622
12.74570031,34.12007962
12.7790366,34.58898269
12.81237285,34.55087261
12.84570899,34.99301174
12.87904506,35.42402203
12.912381,35.85505412
12.94571686,35.9688777
12.97905267,36.21998253
13.01238836,36.58119463
13.04572397,36.55264477
